params,f1_score,erro
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.6614917276681982,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1500}",0.6614917276681982,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 2000}",0.6614917276681982,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 500}",0.6407657657657657,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6407657657657657,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1500}",0.6407657657657657,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 2000}",0.6407657657657657,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 500}",0.6574743347999162,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1000}",0.6574743347999162,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.6574743347999162,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.6574743347999162,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 500}",0.6487762237762238,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1000}",0.6487762237762238,
"{'hidden_layer_sizes': (118, 118), 'activation': 'identity', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1500}",0.6487762237762238,
